Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18141.29167  2018  1 22  7  0  0  2.93
18141.33333  2018  1 22  8  0  0  2.49
18141.37500  2018  1 22  9  0  0  1.93
18141.41667  2018  1 22 10  0  0  1.39
18141.45833  2018  1 22 11  0  0  1.03
18141.50000  2018  1 22 12  0  0  0.94
18141.54167  2018  1 22 13  0  0  1.09
18141.58333  2018  1 22 14  0  0  1.45
18141.62500  2018  1 22 15  0  0  1.93
18141.66667  2018  1 22 16  0  0  2.41
18141.70833  2018  1 22 17  0  0  2.76
18141.75000  2018  1 22 18  0  0  2.91
18141.79167  2018  1 22 19  0  0  2.80
18141.83333  2018  1 22 20  0  0  2.48
18141.87500  2018  1 22 21  0  0  2.03
18141.91667  2018  1 22 22  0  0  1.56
18141.95833  2018  1 22 23  0  0  1.21
18142.00000  2018  1 23  0  0  0  1.07
18142.04167  2018  1 23  1  0  0  1.17
18142.08333  2018  1 23  2  0  0  1.48
18142.12500  2018  1 23  3  0  0  1.93
18142.16667  2018  1 23  4  0  0  2.41
18142.20833  2018  1 23  5  0  0  2.82
18142.25000  2018  1 23  6  0  0  3.05
18142.29167  2018  1 23  7  0  0  3.03
18142.33333  2018  1 23  8  0  0  2.76
18142.37500  2018  1 23  9  0  0  2.32
18142.41667  2018  1 23 10  0  0  1.81
18142.45833  2018  1 23 11  0  0  1.36
18142.50000  2018  1 23 12  0  0  1.10
18142.54167  2018  1 23 13  0  0  1.07
18142.58333  2018  1 23 14  0  0  1.27
18142.62500  2018  1 23 15  0  0  1.63
18142.66667  2018  1 23 16  0  0  2.07
18142.70833  2018  1 23 17  0  0  2.48
18142.75000  2018  1 23 18  0  0  2.77
18142.79167  2018  1 23 19  0  0  2.85
18142.83333  2018  1 23 20  0  0  2.70
18142.87500  2018  1 23 21  0  0  2.37
18142.91667  2018  1 23 22  0  0  1.96
18142.95833  2018  1 23 23  0  0  1.56
18143.00000  2018  1 24  0  0  0  1.28
18143.04167  2018  1 24  1  0  0  1.19
18143.08333  2018  1 24  2  0  0  1.32
18143.12500  2018  1 24  3  0  0  1.62
18143.16667  2018  1 24  4  0  0  2.04
18143.20833  2018  1 24  5  0  0  2.47
18143.25000  2018  1 24  6  0  0  2.82
18143.29167  2018  1 24  7  0  0  2.99
18143.33333  2018  1 24  8  0  0  2.94
18143.37500  2018  1 24  9  0  0  2.67
18143.41667  2018  1 24 10  0  0  2.26
18143.45833  2018  1 24 11  0  0  1.81
18143.50000  2018  1 24 12  0  0  1.43
18143.54167  2018  1 24 13  0  0  1.22
18143.58333  2018  1 24 14  0  0  1.21
18143.62500  2018  1 24 15  0  0  1.40
18143.66667  2018  1 24 16  0  0  1.73
18143.70833  2018  1 24 17  0  0  2.12
18143.75000  2018  1 24 18  0  0  2.49
18143.79167  2018  1 24 19  0  0  2.75
18143.83333  2018  1 24 20  0  0  2.82
18143.87500  2018  1 24 21  0  0  2.68
18143.91667  2018  1 24 22  0  0  2.39
18143.95833  2018  1 24 23  0  0  2.02
18144.00000  2018  1 25  0  0  0  1.66
18144.04167  2018  1 25  1  0  0  1.41
18144.08333  2018  1 25  2  0  0  1.34
18144.12500  2018  1 25  3  0  0  1.46
18144.16667  2018  1 25  4  0  0  1.73
18144.20833  2018  1 25  5  0  0  2.10
18144.25000  2018  1 25  6  0  0  2.50
18144.29167  2018  1 25  7  0  0  2.82
18144.33333  2018  1 25  8  0  0  2.97
18144.37500  2018  1 25  9  0  0  2.92
18144.41667  2018  1 25 10  0  0  2.69
18144.45833  2018  1 25 11  0  0  2.31
18144.50000  2018  1 25 12  0  0  1.90
18144.54167  2018  1 25 13  0  0  1.55
18144.58333  2018  1 25 14  0  0  1.34
18144.62500  2018  1 25 15  0  0  1.31
